"","Description","pvalue","p.adjust"
"GO:0006271","DNA strand elongation involved in DNA replication",1e-10,2.081e-07
"GO:0031055","chromatin remodeling at centromere",1e-10,2.081e-07
"GO:0034080","CENP-A containing chromatin assembly",1e-10,2.081e-07
"GO:0045591","positive regulation of regulatory T cell differentiation",1.96656851996789e-08,3.06932181753988e-05
"GO:0002399","MHC class II protein complex assembly",5.02307077403371e-08,5.22650514038208e-05
"GO:0002503","peptide antigen assembly with MHC class II protein complex",5.02307077403371e-08,5.22650514038208e-05
"GO:0045589","regulation of regulatory T cell differentiation",1.00709258412404e-07,8.98182714669485e-05
"GO:0002819","regulation of adaptive immune response",3.7066944140975e-07,0.000289261165340133
"GO:0002361","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation",4.71438833665945e-07,0.000327021404286277
"GO:0043380","regulation of memory T cell differentiation",6.86695931996258e-07,0.000428704270345264
"GO:0045066","regulatory T cell differentiation",7.71274144539645e-07,0.000429495804567306
"GO:0043379","memory T cell differentiation",8.25556568125528e-07,0.000429495804567306
"GO:0002396","MHC protein complex assembly",9.81210807350221e-07,0.000437549933591959
"GO:0002501","peptide antigen assembly with MHC protein complex",9.81210807350221e-07,0.000437549933591959
"GO:0090715","immunological memory formation process",1.58965888449349e-06,0.00066161602772619
"GO:0090281","negative regulation of calcium ion import",1.99448470975216e-06,0.000778223002686421
"GO:0001916","positive regulation of T cell mediated cytotoxicity",2.59347258934704e-06,0.000834703336062271
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",2.74227052569951e-06,0.000834703336062271
"GO:0032623","interleukin-2 production",2.66556365784778e-06,0.000834703336062271
"GO:0032663","regulation of interleukin-2 production",2.66556365784778e-06,0.000834703336062271
"GO:0051127","positive regulation of actin nucleation",2.80774788680245e-06,0.000834703336062271
"GO:0046635","positive regulation of alpha-beta T cell activation",4.18647078206478e-06,0.00113126477376405
"GO:0044790","suppression of viral release by host",4.30108454295799e-06,0.00113126477376405
"GO:0032897","negative regulation of viral transcription",4.34892753008767e-06,0.00113126477376405
"GO:0090713","immunological memory process",5.03323855163468e-06,0.00117482702506736
"GO:0002468","dendritic cell antigen processing and presentation",4.88771942194096e-06,0.00117482702506736
"GO:0001906","cell killing",5.0809434049045e-06,0.00117482702506736
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II",6.78612577102696e-06,0.00151306368530433
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",7.24227199648003e-06,0.00155908634738017
