"","Description","pvalue","p.adjust"
"GO:0031055","chromatin remodeling at centromere",1.63540745094302e-10,5.10165354321674e-07
"GO:0034080","CENP-A containing chromatin assembly",1.63540745094302e-10,5.10165354321674e-07
"GO:0002396","MHC protein complex assembly",4.4432146275923e-08,6.93030401538709e-05
"GO:0002501","peptide antigen assembly with MHC protein complex",4.4432146275923e-08,6.93030401538709e-05
"GO:0045048","protein insertion into ER membrane",8.74684190840446e-07,0.00109143093333071
"GO:0003081","regulation of systemic arterial blood pressure by renin-angiotensin",1.3588116037882e-06,0.00118464747702302
"GO:0044060","regulation of endocrine process",1.51902224974902e-06,0.00118464747702302
"GO:0034329","cell junction assembly",1.30912026310925e-06,0.00118464747702302
"GO:0002009","morphogenesis of an epithelium",2.66556365784778e-06,0.00184782796236803
"GO:0060485","mesenchyme development",3.62927215884261e-06,0.00226430289990191
"GO:0019883","antigen processing and presentation of endogenous antigen",5.77228893599965e-06,0.00327393733379108
"GO:0050808","synapse organization",8.82269380437025e-06,0.00458706555378883
"GO:0002399","MHC class II protein complex assembly",1.32844254266208e-05,0.00517555415489232
"GO:0002503","peptide antigen assembly with MHC class II protein complex",1.32844254266208e-05,0.00517555415489232
"GO:1903522","regulation of blood circulation",1.41023273975268e-05,0.00517555415489232
"GO:0007389","pattern specification process",1.22961336597625e-05,0.00517555415489232
"GO:0051960","regulation of nervous system development",1.41023273975268e-05,0.00517555415489232
"GO:0043372","positive regulation of CD4-positive, alpha-beta T cell differentiation",1.731239086208e-05,0.0060006670326954
"GO:0060562","epithelial tube morphogenesis",2.75061885249455e-05,0.0076600438783095
"GO:0001654","eye development",2.61099476130398e-05,0.0076600438783095
"GO:0150063","visual system development",2.75061885249455e-05,0.0076600438783095
"GO:0003002","regionalization",2.94664294084674e-05,0.0076600438783095
"GO:0048568","embryonic organ development",2.83439333707897e-05,0.0076600438783095
"GO:0099177","regulation of trans-synaptic signaling",2.52722034009008e-05,0.0076600438783095
"GO:0072006","nephron development",3.22726748699962e-05,0.00771675911321146
"GO:0003015","heart process",3.22726748699962e-05,0.00771675911321146
"GO:0051962","positive regulation of nervous system development",3.33951748768568e-05,0.00771675911321146
"GO:0042326","negative regulation of phosphorylation",3.67626799053456e-05,0.00819151285462325
"GO:0050890","cognition",3.95689387760142e-05,0.00822902030078509
"GO:0001503","ossification",3.95689387760142e-05,0.00822902030078509
"GO:0043379","memory T cell differentiation",4.70715723131623e-05,0.0088993799897521
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",4.68652260294322e-05,0.0088993799897521
"GO:0042063","gliogenesis",4.46202127682067e-05,0.0088993799897521
"GO:0090715","immunological memory formation process",5.30642111968142e-05,0.00903748097079304
"GO:0043380","regulation of memory T cell differentiation",6.21862238245618e-05,0.00903748097079304
"GO:1990776","response to angiotensin",5.82704749736088e-05,0.00903748097079304
"GO:0061138","morphogenesis of a branching epithelium",6.26079996471421e-05,0.00903748097079304
"GO:0045216","cell-cell junction organization",6.37360414673655e-05,0.00903748097079304
