"","Description","pvalue","p.adjust"
"GO:0006278","RNA-templated DNA biosynthetic process",1e-10,4.28175182481752e-09
"GO:0042273","ribosomal large subunit biogenesis",1e-10,4.28175182481752e-09
"GO:0000959","mitochondrial RNA metabolic process",1e-10,4.28175182481752e-09
"GO:0032206","positive regulation of telomere maintenance",1e-10,4.28175182481752e-09
"GO:0007004","telomere maintenance via telomerase",1e-10,4.28175182481752e-09
"GO:0010257","NADH dehydrogenase complex assembly",1e-10,4.28175182481752e-09
"GO:0032981","mitochondrial respiratory chain complex I assembly",1e-10,4.28175182481752e-09
"GO:0007080","mitotic metaphase chromosome alignment",1e-10,4.28175182481752e-09
"GO:0006303","double-strand break repair via nonhomologous end joining",1e-10,4.28175182481752e-09
"GO:0006414","translational elongation",1e-10,4.28175182481752e-09
"GO:0002183","cytoplasmic translational initiation",1e-10,4.28175182481752e-09
"GO:0032210","regulation of telomere maintenance via telomerase",1e-10,4.28175182481752e-09
"GO:0031124","mRNA 3'-end processing",1e-10,4.28175182481752e-09
"GO:0097352","autophagosome maturation",1e-10,4.28175182481752e-09
"GO:0006903","vesicle targeting",1e-10,4.28175182481752e-09
"GO:0000460","maturation of 5.8S rRNA",1e-10,4.28175182481752e-09
"GO:0010965","regulation of mitotic sister chromatid separation",1e-10,4.28175182481752e-09
"GO:0060260","regulation of transcription initiation by RNA polymerase II",1e-10,4.28175182481752e-09
"GO:0030490","maturation of SSU-rRNA",1e-10,4.28175182481752e-09
"GO:1902750","negative regulation of cell cycle G2/M phase transition",1e-10,4.28175182481752e-09
"GO:0010972","negative regulation of G2/M transition of mitotic cell cycle",1e-10,4.28175182481752e-09
"GO:0036297","interstrand cross-link repair",1e-10,4.28175182481752e-09
"GO:1904356","regulation of telomere maintenance via telomere lengthening",1e-10,4.28175182481752e-09
"GO:0007062","sister chromatid cohesion",1e-10,4.28175182481752e-09
"GO:0022616","DNA strand elongation",1e-10,4.28175182481752e-09
"GO:0032506","cytokinetic process",1e-10,4.28175182481752e-09
"GO:0051306","mitotic sister chromatid separation",1e-10,4.28175182481752e-09
"GO:0042149","cellular response to glucose starvation",1e-10,4.28175182481752e-09
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis",1e-10,4.28175182481752e-09
"GO:0044786","cell cycle DNA replication",1e-10,4.28175182481752e-09
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone",1e-10,4.28175182481752e-09
"GO:0007007","inner mitochondrial membrane organization",1e-10,4.28175182481752e-09
"GO:1905818","regulation of chromosome separation",1e-10,4.28175182481752e-09
"GO:0033047","regulation of mitotic sister chromatid segregation",1e-10,4.28175182481752e-09
"GO:0008608","attachment of spindle microtubules to kinetochore",1e-10,4.28175182481752e-09
"GO:0090151","establishment of protein localization to mitochondrial membrane",1e-10,4.28175182481752e-09
"GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",1e-10,4.28175182481752e-09
"GO:0015986","proton motive force-driven ATP synthesis",1e-10,4.28175182481752e-09
"GO:0141137","positive regulation of gene expression, epigenetic",1e-10,4.28175182481752e-09
"GO:0045839","negative regulation of mitotic nuclear division",1e-10,4.28175182481752e-09
"GO:0032786","positive regulation of DNA-templated transcription, elongation",1e-10,4.28175182481752e-09
"GO:0046605","regulation of centrosome cycle",1e-10,4.28175182481752e-09
"GO:0006301","postreplication repair",1e-10,4.28175182481752e-09
"GO:0090114","COPII-coated vesicle budding",1e-10,4.28175182481752e-09
"GO:0051123","RNA polymerase II preinitiation complex assembly",1e-10,4.28175182481752e-09
