"","Description","pvalue","p.adjust"
"GO:0043038","amino acid activation",1e-10,5.14416666666667e-08
"GO:0006418","tRNA aminoacylation for protein translation",1e-10,5.14416666666667e-08
"GO:0043039","tRNA aminoacylation",1e-10,5.14416666666667e-08
"GO:0002183","cytoplasmic translational initiation",1e-10,5.14416666666667e-08
"GO:0000959","mitochondrial RNA metabolic process",1e-10,5.14416666666667e-08
"GO:0030488","tRNA methylation",1e-10,5.14416666666667e-08
"GO:0019883","antigen processing and presentation of endogenous antigen",1e-10,5.14416666666667e-08
"GO:0002716","negative regulation of natural killer cell mediated immunity",1e-10,5.14416666666667e-08
"GO:0002888","positive regulation of myeloid leukocyte mediated immunity",1e-10,5.14416666666667e-08
"GO:0032815","negative regulation of natural killer cell activation",1e-10,5.14416666666667e-08
"GO:0032819","positive regulation of natural killer cell proliferation",1e-10,5.14416666666667e-08
"GO:0002883","regulation of hypersensitivity",1e-10,5.14416666666667e-08
"GO:0031342","negative regulation of cell killing",1.27957870915733e-10,6.07603028586787e-08
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",1.5758899801937e-10,6.94854917695406e-08
"GO:0000460","maturation of 5.8S rRNA",1.0519778682914e-09,4.32923958730855e-07
"GO:0070199","establishment of protein localization to chromosome",1.48453438998068e-09,5.7275192433442e-07
"GO:0006783","heme biosynthetic process",1.82971087763851e-09,6.6440030868603e-07
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",2.15048715092633e-09,7.37497621259346e-07
"GO:0001916","positive regulation of T cell mediated cytotoxicity",3.32505169302404e-09,1.08029179479144e-06
"GO:0000027","ribosomal large subunit assembly",6.87076981686549e-09,2.12066310397553e-06
"GO:0070198","protein localization to chromosome, telomeric region",1.08066026714758e-08,2.90106352951493e-06
"GO:0032616","interleukin-13 production",1.08090816748491e-08,2.90106352951493e-06
"GO:0032656","regulation of interleukin-13 production",1.08090816748491e-08,2.90106352951493e-06
"GO:0032790","ribosome disassembly",1.14610925412574e-08,2.94788851071591e-06
"GO:0000470","maturation of LSU-rRNA",1.23329580187857e-08,3.04525399399856e-06
"GO:0001732","formation of cytoplasmic translation initiation complex",2.79801143010648e-08,6.6431248300182e-06
"GO:1904358","positive regulation of telomere maintenance via telomere lengthening",3.95263180122568e-08,9.03688744776523e-06
"GO:0032212","positive regulation of telomere maintenance via telomerase",4.20070680470596e-08,9.2610582519464e-06
"GO:0006623","protein targeting to vacuole",4.53095541139854e-08,9.64468543260799e-06
"GO:0043247","telomere maintenance in response to DNA damage",7.74192102433005e-08,1.59302928277298e-05
"GO:1905168","positive regulation of double-strand break repair via homologous recombination",8.23853427967812e-08,1.6405313583372e-05
"GO:1904505","regulation of telomere maintenance in response to DNA damage",9.87440590763364e-08,1.90483461461945e-05
"GO:0016233","telomere capping",1.99415631649552e-07,3.73028089143237e-05
"GO:0099022","vesicle tethering",2.14055184236583e-07,3.88636074203655e-05
"GO:0043001","Golgi to plasma membrane protein transport",2.92198461419722e-07,5.15354600669698e-05
"GO:0017004","cytochrome complex assembly",3.02541504421442e-07,5.18774640775989e-05
"GO:0006622","protein targeting to lysosome",5.42120041803056e-07,9.04461356229801e-05
"GO:0072344","rescue of stalled ribosome",5.81726116587432e-07,9.44998767814267e-05
"GO:0062125","regulation of mitochondrial gene expression",6.94401971529655e-07,0.000109911368468014
"GO:1990173","protein localization to nucleoplasm",8.21326201456056e-07,0.000123659674185079
"GO:0016556","mRNA modification",8.15084397180625e-07,0.000123659674185079
"GO:0060382","regulation of DNA strand elongation",8.90818327110298e-07,0.000130929084125045
"GO:0080009","mRNA methylation",9.61262765020625e-07,0.000137997094150519
"GO:0070202","regulation of establishment of protein localization to chromosome",1.09153624186632e-06,0.000153137573205473
"GO:0006390","mitochondrial transcription",1.55273245315356e-06,0.000213000387407043
"GO:0008535","respiratory chain complex IV assembly",1.89665835679318e-06,0.000254523305140963
"GO:0016237","microautophagy",2.09516487215298e-06,0.000269446932412507
"GO:0090151","establishment of protein localization to mitochondrial membrane",2.05314023437553e-06,0.000269446932412507
