"","Description","pvalue","p.adjust"
"GO:0006271","DNA strand elongation involved in DNA replication",9.90410547451e-09,6.18313304773659e-05
"GO:0003183","mitral valve morphogenesis",8.74371759460946e-08,0.000272935144715734
"GO:0071526","semaphorin-plexin signaling pathway",6.0830938010369e-07,0.00123236034566979
"GO:0014037","Schwann cell differentiation",7.89594967592369e-07,0.00123236034566979
"GO:0003174","mitral valve development",2.33909217687927e-06,0.00292059049205145
"GO:0032206","positive regulation of telomere maintenance",4.96251884904774e-06,0.00391078367444273
"GO:0035331","negative regulation of hippo signaling",5.4148617420158e-06,0.00391078367444273
"GO:0006735","NADH regeneration",6.26426986135308e-06,0.00391078367444273
"GO:0061621","canonical glycolysis",6.26426986135308e-06,0.00391078367444273
"GO:0061718","glucose catabolic process to pyruvate",6.26426986135308e-06,0.00391078367444273
"GO:0045039","protein insertion into mitochondrial inner membrane",9.27743195138417e-06,0.00482658397270762
"GO:0014044","Schwann cell development",8.74691257760347e-06,0.00482658397270762
"GO:0061620","glycolytic process through glucose-6-phosphate",1.10670636153301e-05,0.00510112626277035
"GO:0034616","response to laminar fluid shear stress",1.14393348836753e-05,0.00510112626277035
"GO:0034333","adherens junction assembly",1.98798002818496e-05,0.0082739728773058
"GO:0006734","NADH metabolic process",2.50830130988794e-05,0.00978707817351899
"GO:0000727","double-strand break repair via break-induced replication",5.64188216752603e-05,0.0207189825716853
"GO:1901989","positive regulation of cell cycle phase transition",7.96878881474402e-05,0.0248745742852235
"GO:1901976","regulation of cell cycle checkpoint",7.54717621205602e-05,0.0248745742852235
"GO:0070525","tRNA threonylcarbamoyladenosine metabolic process",7.85366700674383e-05,0.0248745742852235
"GO:0019677","NAD catabolic process",8.46208634867284e-05,0.025156573845126
"GO:0044786","cell cycle DNA replication",9.51328895689109e-05,0.0258223751990744
"GO:0010971","positive regulation of G2/M transition of mitotic cell cycle",9.10868598559797e-05,0.0258223751990744
"GO:0060413","atrial septum morphogenesis",0.00010572206590655,0.0275009523939414
"GO:0035329","hippo signaling",0.000135367455617946,0.0338039610169136
"GO:0042976","activation of Janus kinase activity",0.000143354413079719,0.0344216000329495
"GO:0030517","negative regulation of axon extension",0.000150879081815542,0.0348865965842382
"GO:0031055","chromatin remodeling at centromere",0.000224431620110578,0.0467042201450114
"GO:0034080","CENP-A containing chromatin assembly",0.000224431620110578,0.0467042201450114
"GO:0090329","regulation of DNA-templated DNA replication",0.000209629730629618,0.0467042201450114
"GO:0010657","muscle cell apoptotic process",0.00235645606416872,0.0474969664293404
"GO:0045931","positive regulation of mitotic cell cycle",0.00127937194546974,0.0474969664293404
"GO:0010660","regulation of muscle cell apoptotic process",0.00209669495448161,0.0474969664293404
"GO:0044774","mitotic DNA integrity checkpoint signaling",0.00733928255709643,0.0474969664293404
"GO:0044773","mitotic DNA damage checkpoint signaling",0.00368868097307132,0.0474969664293404
"GO:0010656","negative regulation of muscle cell apoptotic process",0.00361641428574115,0.0474969664293404
"GO:2001252","positive regulation of chromosome organization",0.00187029515373272,0.0474969664293404
"GO:0010658","striated muscle cell apoptotic process",0.000585893687955193,0.0474969664293404
